road,count
南投縣草屯鎮富寮里,7
南投縣名間鄉南雅村南雅街,7
南投縣草屯鎮溪南路,7
南投縣竹山鎮建國路,7
南投縣草屯鎮敦和里敦和南路,7
南投縣草屯鎮碧峰里碧興路,7
南投縣草屯鎮御史里大覺路,7
南投縣埔里鎮北安里建國路,7
南投縣魚池鄉有水巷,7
南投縣魚池鄉文化巷,7
南投縣竹山鎮保甲路,7
南投縣草屯鎮新庄里新豐路,7
南投縣草屯鎮明正里平等街,7
南投縣竹山鎮鯉南路段,7
南投縣南投市文獻路,7
南投縣草屯鎮炎峰里明賢街,7
南投縣埔里鎮薰化里南興街,7
南投縣竹山鎮延祥里集山路3段,7
南投縣竹山鎮桂林里中正巷,7
南投縣鹿谷鄉中正路3段,7
南投縣國姓鄉乾溝村,7
南投縣草屯鎮明正里芬草路1段,7
南投縣草屯鎮平峰路,6
南投縣鹿谷鄉彰雅村中正路一段,6
南投縣埔里鎮蘭陽街,6
南投縣埔里鎮成功路,6
南投縣南投市振興里南鄉路,6
南投縣魚池鄉投69線,6
南投縣草屯鎮新庄一路,6
南投縣草屯鎮民生路,6
南投縣名間鄉松柏街,6
南投縣草屯鎮新厝里新富路,6
南投縣竹山鎮延山里鹿山路,6
南投縣水里鄉民和路,6
南投縣草屯鎮墩煌路,6
南投縣竹山鎮雲林里前山路一段,6
南投縣鹿谷鄉清水村仁愛路,6
南投縣竹山鎮大仁路,6
南投縣竹山鎮台3,6
南投縣中寮鄉八仙村永樂路,6
南投縣南投市鳳鳴路,6
南投縣中寮鄉,6
南投縣名間鄉新街,6
南投縣南投市向陽路,6
南投縣南投市光華里光華四路,6
南投縣草屯鎮北投里墩煌路一段,6
南投縣竹山鎮菜園路,6
南投縣埔里鎮民有二街,6
南投縣竹山鎮前山路二段,6
南投縣南投市軍功里軍功路,6
南投縣埔里鎮史港里西安路二段,6
南投縣南投市內新里東閔路,6
南投縣集集鎮八張里民權路,6
南投縣草屯鎮加老里加老南路,6
南投縣草屯鎮碧洲里立人路,6
南投縣草屯鎮富林路,6
南投縣草屯鎮墩煌路三段,6
南投縣南投市平和里南陽路,6
南投縣竹山鎮雲林里大忠路,6
南投縣草屯鎮新豐里防汎路,6
南投縣竹山鎮前山路,6
南投縣草屯鎮中山里太平路,6
南投縣南投市仁義路,6
南投縣竹山鎮延平里保甲路,6
南投縣埔里鎮大城里南安路,6
南投縣南投市光榮里光榮東路,6
